"ID";"RegioS";"Perioden";"BevolkingAanHetBeginVanDePeriode_1";"LevendGeborenKinderen_2";"Overledenen_3";"TotaleVestiging_4";"VestigingVanuitEenAndereGemeente_5";"Immigratie_6";"TotaalVertrekInclAdmCorrecties_7";"VertrekNaarAndereGemeente_8";"EmigratieInclusiefAdmCorrecties_9";"OverigeCorrecties_10";"Bevolkingsgroei_11";"BevolkingsgroeiRelatief_12";"BevolkingsgroeiSinds1Januari_13";"BevolkingsgroeiSinds1JanuariRela_14";"BevolkingAanHetEindeVanDePeriode_15"
"107464";"GM1714";"2012MM10";"   23917";"      19";"      25";"      79";"      41";"      38";"      64";"      41";"      23";"";"       9";"    0.04";"      34";"    0.14";"   23926"
"107465";"GM1714";"2012MM11";"   23926";"      13";"      40";"      58";"      35";"      23";"      53";"      33";"      20";"";"     -22";"   -0.09";"      12";"    0.05";"   23904"
"107466";"GM1714";"2012MM12";"   23904";"      12";"      39";"      71";"      49";"      22";"      61";"      38";"      23";"      -1";"     -18";"   -0.08";"      -6";"   -0.03";"   23886"
"107467";"GM1714";"2012JJ00";"   23892";"     178";"     313";"     874";"     495";"     379";"     744";"     545";"     199";"      -1";"      -6";"   -0.03";"      -6";"   -0.03";"   23886"
"107468";"GM1714";"2013MM01";"   23886";"      19";"      28";"      63";"      35";"      28";"      57";"      42";"      15";"";"      -3";"   -0.01";"      -3";"   -0.01";"   23883"
"107469";"GM1714";"2013MM02";"   23883";"      17";"      37";"      52";"      35";"      17";"      42";"      28";"      14";"";"     -10";"   -0.04";"     -13";"   -0.05";"   23873"
"107470";"GM1714";"2013MM03";"   23873";"      19";"      29";"      53";"      36";"      17";"      39";"      26";"      13";"";"       4";"    0.02";"      -9";"   -0.04";"   23877"
"107471";"GM1714";"2013MM04";"   23877";"      20";"      27";"      64";"      42";"      22";"      54";"      30";"      24";"";"       3";"    0.01";"      -6";"   -0.03";"   23880"
"107472";"GM1714";"2013MM05";"   23880";"      12";"      26";"      81";"      43";"      38";"      61";"      38";"      23";"";"       6";"    0.03";"       0";"    0.00";"   23886"
"107473";"GM1714";"2013MM06";"   23886";"      19";"      17";"      76";"      44";"      32";"      46";"      36";"      10";"";"      32";"    0.13";"      32";"    0.13";"   23918"
"107474";"GM1714";"2013MM07";"   23918";"      10";"      23";"      84";"      50";"      34";"      75";"      60";"      15";"";"      -4";"   -0.02";"      28";"    0.12";"   23914"
"107475";"GM1714";"2013MM08";"   23914";"      18";"      24";"      74";"      45";"      29";"     123";"     104";"      19";"";"     -55";"   -0.23";"     -27";"   -0.11";"   23859"
"107476";"GM1714";"2013MM09";"   23859";"      16";"      13";"      81";"      47";"      34";"     107";"      80";"      27";"";"     -23";"   -0.10";"     -50";"   -0.21";"   23836"
